P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
3,4,6.21437483369337,47424.56463983766,38.61935231257138,3.4473452498329977,0.015138659737508534,0.9964366629167974,-4514.752276708918,-4586.336266230817
3,5,6.215771667122379,47445.99567251521,38.63680429357918,3.447751849202724,0.015140014516050501,0.9964350526543934,-4509.301450850211,-4565.546014045988
3,6,6.21697654988071,47464.40734905554,38.65179751551752,3.437194913320949,0.015094778260932857,0.9964336692571966,-4515.776957273464,-4587.360946795363
3,7,6.245998363778341,47907.38857096196,39.012531409578145,3.454652944479896,0.015185981776127377,0.9964003849998256,-4533.245959464581,-4620.169375312602
3,8,6.296294690258363,48682.00534303491,39.64332682657561,3.4944626333138378,0.0153358858574287,0.9963421826591154,-4538.944992020568,-4590.0764131076385
3,9,6.2045155156768255,47274.213539334356,38.49691656297587,3.4366291055345637,0.015100672540058403,0.9964479598397317,-4505.852306732215,-4564.653440982346
3,10,6.240613849007091,47824.80929207288,38.94528443979877,3.455495160169755,0.015173336205519878,0.996406589754872,-4524.128188326081,-4593.155606793627
4,1,6.242981142502889,47861.52513704476,38.97518333635568,3.4521250643713763,0.015162172626367439,0.9964038310383097,-4530.048744020277,-4611.85901775959
4,2,6.254624964716254,48040.27335985363,39.12074377838243,3.4560933900711492,0.01518661766552192,0.996390400442252,-4534.623952929454,-4616.434226668768
4,3,6.234438367746801,47730.43279834434,38.868430617544256,3.458732008648507,0.015195752819848918,0.9964136809166452,-4520.690759010547,-4587.161606423739
4,4,6.247731053248042,47934.23065384431,39.03438978326082,3.4532476324736465,0.015165068737603501,0.9963983681676195,-4531.92054541661,-4613.730819155924
4,5,6.240783922731091,47827.42570096758,38.94741506593453,3.4472933580910747,0.015146733435257763,0.9964063931658909,-4535.194872447321,-4632.344572512757
4,6,6.244703239789016,47887.84378103649,38.996615456870146,3.463211479744478,0.015213802355099075,0.9964018535357048,-4524.728439584738,-4591.19928699793
4,7,6.188011756485278,47029.99476389962,38.298041338680456,3.4451372327791425,0.01513234994519695,0.9964663096933472,-4508.128139195407,-4589.938412934721
4,8,6.192281051112583,47093.40263336211,38.34967641153265,3.439392424634105,0.01511507065060485,0.9964615454195086,-4515.861735982044,-4613.011436047479
4,9,6.5076421209701465,52077.70293740249,42.40855288062093,3.677499803122803,0.014606540620275594,0.9953430448284092,-4616.965910493704,-4664.68857017497
4,10,6.561553068904072,52871.45726715895,43.05493262797959,3.7523833461486444,0.014190227389854329,0.9949475486934026,-4632.267036821261,-4662.945889473504
5,1,6.582906211865921,53215.809031968594,43.33534937456725,3.7815721742672643,0.014294507159275084,0.9949146420815186,-4639.587515495127,-4668.561987444467
5,2,6.626555615009374,53931.49010553586,43.9181515517393,3.7973520621319303,0.014349453401896467,0.9948462508556632,-4658.3126165755975,-4694.104611336547
5,3,6.58372482740548,53228.74227730747,43.3458813333123,3.786563622160624,0.014310734062133306,0.9949134061671767,-4641.899872446066,-4675.987486504114
5,4,6.60348453775602,53552.147858956836,43.60924092748929,3.7802218209001968,0.014296437192284637,0.9948825011942853,-4651.848707678485,-4692.753844548141
5,5,6.60051305283053,53500.50287154358,43.56718474881401,3.806102986616825,0.014380992634701108,0.9948874364428604,-4652.822354129969,-4698.840633108334
5,6,6.572387567060255,53045.27132501468,43.196475020370286,3.7696786826992223,0.014252133658880279,0.994930938841715,-4640.340735131478,-4681.245872001135
5,7,6.610915733171461,53670.23167835628,43.705400389540976,3.801640674939483,0.014359803000946407,0.9948712169820005,-4660.6680951560675,-4716.9126583518455
5,8,6.649108822773954,54290.77460089868,44.21072850236049,3.867055119655591,0.014594178120195249,0.9948119172565558,-4680.847606846823,-4752.431596368722
5,9,6.580110058583956,53169.77642721168,43.29786354007465,3.790951730499533,0.01432197898777103,0.9949190410049843,-4643.229984024417,-4684.135120894073
5,10,6.616048842254077,53753.36294748966,43.77309686277662,3.791669417992745,0.014329139798057833,0.9948632728716796,-4662.5800447642105,-4718.8246079599885
6,1,6.647087507457445,54258.17079335686,44.184178170486064,3.8535216104840373,0.014548862523185225,0.9948150329102287,-4680.091814785474,-4751.675804307373
6,2,6.644870913781722,54221.49201788983,44.15430946082234,3.8606815962212773,0.014570286599020169,0.9948185379720637,-4683.283973072649,-4765.094246811963
6,3,6.579079063914856,53153.097472310124,43.28428132924279,3.81222358352776,0.014397178552116901,0.994920634863218,-4642.845568997793,-4683.750705867449
6,4,6.619185311977489,53803.118230598586,43.81361419429859,3.846095270594375,0.014521264940262391,0.9948585182052084,-4665.771963200008,-4727.129668504493
6,5,6.6547501698028,54382.85582533031,44.28571321280966,3.849160536342854,0.01453239085518322,0.9948031178792219,-4682.93234599924,-4754.51633552114
6,6,6.638554400797941,54120.46584742542,44.07204059236599,3.866291524735377,0.01458999625026495,0.9948281921377203,-4676.902668726322,-4748.486658248222
6,7,6.648414523400088,54279.42962961099,44.20148992639336,3.8522371655368226,0.014536879136017181,0.9948130013937817,-4684.591307678238,-4766.401581417551
