P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
4,10,2,6.585286052173881,53253.4386536378,43.36599238895583,3.773628035981167,0.014268756284988587,0.9949110461558339,-4643.161573477978,-4678.953568238928
5,1,0,6.620157367466033,53818.92182397817,43.826483570014766,3.8339374923015273,0.014478298760864414,0.99485700799743,-4658.132610755093,-4699.0377476247495
5,1,1,6.562854425332091,52891.25947954804,43.071058208100986,3.7585765465939005,0.014214277333937536,0.9949456563734435,-4628.781357420903,-4649.233925855731
5,1,2,6.565706842799637,52937.245792379574,43.10850634558601,3.752202483906365,0.014190945383023304,0.9949412618736819,-4631.848578309386,-4657.414288852921
5,2,0,6.740080902294044,55786.4320193078,45.4286905694689,3.869520820017568,0.014613790832068591,0.994668990682021,-4698.224655560711,-4728.903508212953
5,2,1,6.596294976022076,53431.63990033233,43.51110741069407,3.7783903392632165,0.014273063647095432,0.9948940170598294,-4647.263952881451,-4683.0559476424005
5,2,2,6.5432909667120045,52576.39839696743,42.81465667505491,3.7441450271150063,0.01416150572652538,0.9949757448251395,-4629.449241284631,-4670.354378154288
5,3,0,6.6120468252571305,53687.13243341449,43.719163219392954,3.800006802700439,0.014350972493386288,0.9948696019283139,-4657.121850964891,-4703.140129943255
5,3,1,6.578019229338861,53135.97381334565,43.270336981551885,3.7732125315999525,0.01426613141121865,0.9949222712178332,-4636.449896081736,-4662.015606625272
5,3,2,6.561108427620449,52863.12058516227,43.04814379899206,3.7864715321814804,0.014315098281794982,0.994948345355383,-4632.127870291574,-4662.806722943817
5,4,0,6.564941936323058,52924.91210631599,43.09846262729318,3.7514268535515005,0.014188607410768021,0.9949424404935174,-4635.562437031798,-4671.354431792748
5,4,1,6.683871970268717,54859.849464351006,44.674144514943826,3.83713089647641,0.014510230709401124,0.9947575358722321,-4681.656951671027,-4722.562088540683
5,4,2,6.561639706676287,52871.682006203504,43.05511564023087,3.7521077126726796,0.01419047345668477,0.9949475272171064,-4638.326734332629,-4684.345013310993
5,5,0,6.576859874245448,53117.2453691047,43.255085805459856,3.7750131786394774,0.014270465142020322,0.9949240609273942,-4646.016995696354,-4697.148416783424
5,5,1,6.626434949810634,53921.03809692024,43.90964014407188,3.8436878446361424,0.014519628056839975,0.9948472496604498,-4666.460415978241,-4722.704979174019
5,5,2,6.598244334435505,53463.22514860578,43.536828296910265,3.7996079365748545,0.014352884705243025,0.994890998740737,-4645.989650715315,-4676.668503367558
5,6,0,6.579588594358792,53161.330895208026,43.29098607101637,3.77133025201839,0.014258534695423715,0.9949198480687843,-4641.035771654086,-4676.8277664150355
5,6,1,6.584791489903311,53245.44016963776,43.35947896550307,3.7747642308995806,0.014266733100067186,0.9949118104992628,-4644.977118233397,-4685.8822551030535
5,6,2,6.5527826169186625,52729.04291019824,42.9389600245914,3.762941565179697,0.014231133181149939,0.994961157957098,-4635.009315506951,-4681.027594485315
5,7,0,6.620495112032572,53824.41338893312,43.830955528447205,3.8033253155347166,0.01436244622703236,0.9948564832177859,-4662.257906794226,-4713.389327881297
